embedding_version,extra_tags,model_name,train_frac,rmse_per_sample.mean,rmse_per_sample.std,rmse_mean.mean,rmse_mean.std,inconsistency_per_sample.mean,inconsistency_per_sample.std,inconsistency_mean.mean,inconsistency_mean.std
orig,besthp,LSTM,0.1,7.49543571472168,5.660089560378199,6.71384871006012,6.197012442705964,0.45543777048587797,0.07219343889937,0.3461847469210625,0.19707580580037404
orig,besthp,LSTM,0.2,3.4244089365005492,0.9530757052721287,2.3788628220558166,0.6395565885826271,0.4822414189577103,0.03600797763570572,0.43882196098566056,0.19197167129056739
orig,besthp,LSTM,0.3,2.704295611381531,0.19153082928622034,1.934822940826416,0.09649995841365945,0.47135030627250674,0.034032448349682526,0.38107985258102417,0.16708267087245257
orig,besthp,LSTM,0.4,2.693190908432007,0.19129634979718102,1.9105852246284485,0.06859054259767565,0.4688072443008423,0.031404070507508916,0.37880408465862275,0.15795556994969767
orig,besthp,LSTM,0.5,2.5855931997299195,0.03832958892400807,1.8862690329551697,0.02999286727803467,0.45622803568840026,0.04013915657196898,0.34417669251561167,0.19742274229780635
orig,besthp,LSTM,1.0,2.487530970573425,0.0711878193859143,1.8526541590690613,0.055263395481355,0.3977246850728989,0.06772218506897243,0.29861668646335604,0.18694800452957513
orig,besthp,PGA-LSTM,0.1,8.112330305576325,5.516155724164789,7.75782812833786,5.782523498565686,0.0,0.0,0.0,0.0
orig,besthp,PGA-LSTM,0.2,2.5335225105285644,0.7559365948287217,2.1909665942192076,0.4684764252832456,0.0,0.0,0.0,0.0
orig,besthp,PGA-LSTM,0.3,2.394465744495392,0.8812690788346547,2.1053311944007875,0.5575294952558093,0.0,0.0,0.0,0.0
orig,besthp,PGA-LSTM,0.4,1.9123571872711183,0.09460175027538598,1.8286564946174622,0.09525390113025776,0.0,0.0,0.0,0.0
orig,besthp,PGA-LSTM,0.5,2.0752596735954283,0.5246923587010807,1.895393967628479,0.26413937668480847,0.0,0.0,0.0,0.0
orig,besthp,PGA-LSTM,1.0,1.7275866270065308,0.036040837282712755,1.6952423453330994,0.025687317222955846,0.0,0.0,0.0,0.0
orig,besthp,PGL-LSTM,0.1,5.99262843132019,5.1238193774007526,4.984047973155976,5.619283526474681,0.4657858401536942,0.07159245485301975,0.3940651386976242,0.20232359196569502
orig,besthp,PGL-LSTM,0.2,3.513172912597656,1.0409133901759908,2.2557082891464235,0.6002132967296903,0.4899031758308411,0.025121057401391853,0.48215080946683886,0.15092847674635515
orig,besthp,PGL-LSTM,0.3,2.7930481672286986,0.2656287019030778,1.9151989102363587,0.10049675416095818,0.4827153295278549,0.02839813631568572,0.4377956062555313,0.17664461562082268
orig,besthp,PGL-LSTM,0.4,2.6407119750976564,0.11161114083334361,1.8994568705558776,0.040249434869706543,0.470519882440567,0.03447613583889354,0.40914768129587176,0.19345233407477486
orig,besthp,PGL-LSTM,0.5,2.563858985900879,0.05939300152663709,1.875985813140869,0.03369092901621795,0.4651887595653534,0.03767100412275565,0.39678713083267214,0.20915945700174685
orig,besthp,PGL-LSTM,1.0,2.522744393348694,0.10453469420583718,1.8602318525314332,0.02571083725382782,0.42315530478954316,0.06815214083310042,0.3886657826602459,0.16680544810109177
