embedding_version,extra_tags,model_name,train_frac,rmse_per_sample.mean,rmse_per_sample.std,rmse_mean.mean,rmse_mean.std,inconsistency_per_sample.mean,inconsistency_per_sample.std,inconsistency_mean.mean,inconsistency_mean.std
orig,theirhp,LSTM,0.1,5.910674500465393,5.161457650341295,5.413872957229614,5.422953759610842,0.37676216959953307,0.06808813407000566,0.15064702928066254,0.12796562115367188
orig,theirhp,LSTM,0.2,2.825778841972351,0.2678652871016243,2.1460240483283997,0.29491544884518306,0.3785515457391739,0.07710504116825231,0.16559571474790574,0.0952999977096382
orig,theirhp,LSTM,0.3,2.728799271583557,0.18181809365186524,1.99559326171875,0.12985011881791164,0.3820361584424973,0.051908838813355264,0.1505577951669693,0.048712956616941784
orig,theirhp,LSTM,0.4,2.5961989641189573,0.1296284471701346,1.9107382535934447,0.11534851095977043,0.3745412826538086,0.0562443945862108,0.14774655029177666,0.06782669450500581
orig,theirhp,LSTM,0.5,2.5637251853942873,0.06645518825039319,1.8609328746795655,0.05876010598306084,0.3551365539431572,0.07035305166409597,0.13623382821679114,0.06352221513407807
orig,theirhp,LSTM,1.0,2.5346091032028197,0.0834439451411134,1.8392938137054444,0.08125495835059642,0.37394647002220155,0.04906252169201594,0.1379741206765175,0.04193649139117978
orig,theirhp,PGA-LSTM,0.1,4.4393344759941105,4.069843355193168,4.4223661661148075,4.073752077644992,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.2,2.065440022945404,0.43253555703115687,2.0387717485427856,0.4404977626506151,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.3,2.1474751591682435,0.9381871561444941,2.1340197682380677,0.9436619346904921,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.4,2.0559183716773988,0.6505322049099566,2.034708762168884,0.6600821779413906,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.5,1.7576663970947266,0.08105977160045749,1.7341123461723327,0.08874723728287787,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,1.0,1.7079245328903199,0.07573034376219852,1.6904769778251647,0.07787391416409471,0.0,0.0,0.0,0.0
orig,theirhp,PGL-LSTM,0.1,3.9501677751541138,1.0001660261886174,3.3089102029800417,1.0060642052041393,0.38975948840379715,0.07381290357706852,0.18621152304112912,0.09208053518889217
orig,theirhp,PGL-LSTM,0.2,2.807399606704712,0.2687312385723965,2.1566441655158997,0.23866993543242737,0.3891744911670685,0.0564861143775491,0.1661311976611614,0.06192361895158793
orig,theirhp,PGL-LSTM,0.3,2.7322649002075194,0.18913057884131595,2.0643377184867857,0.16654104895489513,0.4051432490348816,0.019423120794819962,0.19107541888952256,0.02721455471313928
orig,theirhp,PGL-LSTM,0.4,2.617333483695984,0.09193689828045033,1.8993711113929748,0.08193604792314814,0.40463052690029144,0.025333820674535573,0.1887550301849842,0.035586004665025255
orig,theirhp,PGL-LSTM,0.5,2.5437784433364867,0.09156347392132073,1.8531330227851868,0.07038861969944253,0.39158500730991364,0.046343468023025046,0.1749219112098217,0.0544139727474522
orig,theirhp,PGL-LSTM,1.0,2.5439521789550783,0.11947472879755217,1.841890275478363,0.08858263157126531,0.3896260768175125,0.04346800438569098,0.1693440418690443,0.06543624760125914
